18:14:23.246900 config: drop-rate=0.00, max-delay=0s, seed=1669763663246701000
18:14:23.247313 router is listening at :3000
18:15:23.723168 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:15:23.730220 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delivered
18:15:23.731930 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=109 is delivered
18:15:23.738583 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=136 is delivered
18:17:34.892949 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:17:34.895252 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delivered
18:17:34.902398 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:35.900444 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:36.901960 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:37.903594 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:38.905325 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:39.906090 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:40.907492 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:41.909246 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:42.911153 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:43.912788 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:44.914676 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:45.916164 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:46.917621 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:47.919414 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:48.921165 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:49.923134 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:50.923895 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:51.924586 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:52.926080 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:53.928045 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:54.929289 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:55.930441 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:56.930895 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:17:57.932930 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:23.045319 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
18:18:23.048495 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=2 is delivered
18:18:23.050877 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:24.053409 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:25.054379 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:26.055999 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:27.057717 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:28.060036 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:29.061110 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:30.062081 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:31.062876 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:32.063964 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:33.066240 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:34.065564 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:35.066479 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:36.066772 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:37.068487 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:38.070176 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:39.070693 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:40.072290 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:41.073980 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:42.075677 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:43.077401 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:44.078745 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:45.080414 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:46.082401 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:47.083830 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:48.085589 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:49.087063 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:50.088232 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:51.089986 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:52.090896 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:53.091883 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:54.093308 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:55.095090 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:56.096314 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:57.098084 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:58.099778 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:18:59.100574 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:19:00.101799 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:19:01.103616 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:19:02.105305 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:19:03.107131 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:19:04.108748 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:19:05.110389 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
18:19:06.111558 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=95 is delivered
